Name;Position;Duration;Poolaeg;Põhimoment;Tsoon1;Tsoon2;Tsoon3;Opening;Pressing;Outcome;Result;Shot2;Standard last/4;Field Position
 AA STAN_KICKOFF POS WINOPENSTAN;0;25256;1.;AA;;;;;;POS;WINOPENSTAN;;STAN_KICKOFF;
 AA THROWIN_OPEN NEG -;25163;21614;1.;AA;;;;THROWIN_OPEN;;NEG;-;;;
 AD S1 S2 S3 NEG WINSTANDARD;34377;31419;1.;AD;S1;S2;S3;;;NEG;WINSTANDARD;;;M3
 DD STAN_CORNER POS -;90161;14807;1.;DD;;;;;;POS;-;;STAN_CORNER;
 DD S2 LOWPRESS POS KEEPPOS;98703;18878;1.;DD;S2;;;;LOWPRESS;POS;KEEPPOS;;;
 AA S1 MIDPRESS NEG -;110582;27487;1.;AA;S1;;;;MIDPRESS;NEG;-;;;
 AD S3 NEG SHOTGOAL;121831;34155;1.;AD;S3;;;;;NEG;SHOTGOAL;;;M1
 AA STAN_KICKOFF POS KEEPPOS;170441;27153;1.;AA;;;;;;POS;KEEPPOS;;STAN_KICKOFF;
 AA S1 S2 MIDPRESS NEG -;190962;50910;1.;AA;S1;S2;;;MIDPRESS;NEG;-;;;
 AD S2 S3 NEG WINSTANDARD;225501;18639;1.;AD;S2;S3;;;;NEG;WINSTANDARD;;;L2/1
 DD STAN_CORNER POS WINOPENSTAN;291796;17210;1.;DD;;;;;;POS;WINOPENSTAN;;STAN_CORNER;
 AA THROWIN_OPEN NEG -;304108;19278;1.;AA;;;;THROWIN_OPEN;;NEG;-;;;
 AD S1 POS KEEPPOS;309886;19474;1.;AD;S1;;;;;POS;KEEPPOS;;;L3
 AA THROWIN_OPEN POS KEEPPOS;325863;15208;1.;AA;;;;THROWIN_OPEN;;POS;KEEPPOS;;;
 AA S2 LOWPRESS NEG -;330501;19012;1.;AA;S2;;;;LOWPRESS;NEG;-;;;
 AD S2 S3 POS ENTRY;333743;54375;1.;AD;S2;S3;;;;POS;ENTRY;;;R2/1
 AA S1 GK_SHORT MIDPRESS NEG -;389894;31224;1.;AA;S1;;;GK_SHORT;MIDPRESS;NEG;-;;;
 DD FK_OPEN NEG -;420792;22915;1.;DD;;;;FK_OPEN;;NEG;-;;;
 DD S1 HIGHPRESS POS KEEPPOS;429600;24817;1.;DD;S1;;;;HIGHPRESS;POS;KEEPPOS;;;
 AA S1 S2 S3 MIDPRESS POS WINSTANDARD;448019;40767;1.;AA;S1;S2;S3;;MIDPRESS;POS;WINSTANDARD;;;
 AA STAN_CORNER POS SHOTON SHOTBLOCK;514685;21414;1.;AA;;;;;;POS;SHOTON;SHOTBLOCK;STAN_CORNER;
 AA STAN_FK NEG WINOPENSTAN;557728;17543;1.;AA;;;;;;NEG;WINOPENSTAN;;STAN_FK;
 DD FK_OPEN POS WINOPENSTAN;585590;20947;1.;DD;;;;FK_OPEN;;POS;WINOPENSTAN;;;
 AA THROWIN_OPEN POS ENTRY;601906;17877;1.;AA;;;;THROWIN_OPEN;;POS;ENTRY;;;
 DD S1 HIGHPRESS POS -;613250;27620;1.;DD;S1;;;;HIGHPRESS;POS;-;;;
 DD THROWIN_OPEN POS -;644281;19746;1.;DD;;;;THROWIN_OPEN;;POS;-;;;
 DA S2 POS -;647456;27281;1.;DA;S2;;;;;POS;-;;;M2/1
 AD S1 S2 POS -;661237;25613;1.;AD;S1;S2;;;;POS;-;;;M3
 DD THROWIN_OPEN NEG -;692963;19679;1.;DD;;;;THROWIN_OPEN;;NEG;-;;;
 DA S1 NEG KEEPPOS;699875;17672;1.;DA;S1;;;;;NEG;KEEPPOS;;;M1
 AA THROWIN_OPEN POS KEEPPOS;723828;12605;1.;AA;;;;THROWIN_OPEN;;POS;KEEPPOS;;;
 AA S1 S2 MIDPRESS POS WINSTANDARD;729433;28421;1.;AA;S1;S2;;;MIDPRESS;POS;WINSTANDARD;;;
 AA STAN_FK POS WINSTANDARD;784088;20013;1.;AA;;;;;;POS;WINSTANDARD;;STAN_FK;
 AD S1 S2 S3 NEG WINSTANDARD;817459;38493;1.;AD;S1;S2;S3;;;NEG;WINSTANDARD;;;M1
 AA STAN_CORNER NEG -;820057;14674;1.;AA;;;;;;NEG;-;;STAN_CORNER;
 DD STAN_CORNER NEG SHOTON SHOTGOAL;872209;25818;1.;DD;;;;;;NEG;SHOTON;SHOTGOAL;STAN_CORNER;
 AA STAN_KICKOFF POS KEEPPOS;929366;19545;1.;AA;;;;;;POS;KEEPPOS;;STAN_KICKOFF;
 AA S1 HIGHPRESS NEG -;942646;21481;1.;AA;S1;;;;HIGHPRESS;NEG;-;;;
 DD THROWIN_OPEN POS WINOPENSTAN;966437;16943;1.;DD;;;;THROWIN_OPEN;;POS;WINOPENSTAN;;;
 AA THROWIN_OPEN NEG -;981285;48174;1.;AA;;;;THROWIN_OPEN;;NEG;-;;;
 AD S2 POS KEEPPOS;1017459;19007;1.;AD;S2;;;;;POS;KEEPPOS;;;L2/1
 AA FK_OPEN POS KEEPPOS;1037107;14000;1.;AA;;;;FK_OPEN;;POS;KEEPPOS;;;
 AA S1 S2 HIGHPRESS NEG -;1038575;21414;1.;AA;S1;S2;;;HIGHPRESS;NEG;-;;;
 DD THROWIN_OPEN POS KEEPPOS;1075712;17143;1.;DD;;;;THROWIN_OPEN;;POS;KEEPPOS;;;
 AA S2 MIDPRESS NEG -;1088192;21414;1.;AA;S2;;;;MIDPRESS;NEG;-;;;
 DD THROWIN_OPEN POS WINOPENSTAN;1116653;12271;1.;DD;;;;THROWIN_OPEN;;POS;WINOPENSTAN;;;
 AA THROWIN_OPEN NEG WINOPENSTAN;1130868;14807;1.;AA;;;;THROWIN_OPEN;;NEG;WINOPENSTAN;;;
 DD THROWIN_OPEN NEG -;1144915;20813;1.;DD;;;;THROWIN_OPEN;;NEG;-;;;
 AD S2 S3 NEG ENTRY;1152895;34489;1.;AD;S2;S3;;;;NEG;ENTRY;;;M2/1
 AA GK_OPENSHORT NEG -;1195699;28688;1.;AA;;;;GK_OPENSHORT;;NEG;-;;;
 AD S2 POS -;1208383;29817;1.;AD;S2;;;;;POS;-;;;M2/1
 DD FK_OPEN NEG -;1240677;24550;1.;DD;;;;FK_OPEN;;NEG;-;;;
 DD S2 MIDPRESS POS KEEPPOS;1260197;14874;1.;DD;S2;;;;MIDPRESS;POS;KEEPPOS;;;
 AA THROWIN_OPEN POS KEEPPOS;1288892;18745;1.;AA;;;;THROWIN_OPEN;;POS;KEEPPOS;;;
 AA S2 LOWPRESS NEG -;1300637;32625;1.;AA;S2;;;;LOWPRESS;NEG;-;;;
 DD FK_OPEN NEG -;1345549;16743;1.;DD;;;;FK_OPEN;;NEG;-;;;
 DD S1 S3 HIGHPRESS NEG SHOTON SHOTOFF;1352789;53913;1.;DD;S1;S3;;;HIGHPRESS;NEG;SHOTON;SHOTOFF;;
 AA GK_OPENSHORT NEG WINOPENSTAN;1407377;22949;1.;AA;;;;GK_OPENSHORT;;NEG;WINOPENSTAN;;;
 DD THROWIN_OPEN NEG -;1436239;20146;1.;DD;;;;THROWIN_OPEN;;NEG;-;;;
 DD S2 MIDPRESS POS -;1449386;52912;1.;DD;S2;;;;MIDPRESS;POS;-;;;
 DD THROWIN_OPEN NEG -;1506643;12405;1.;DD;;;;THROWIN_OPEN;;NEG;-;;;
 DD S2 MIDPRESS POS -;1511982;16843;1.;DD;S2;;;;MIDPRESS;POS;-;;;
 DA S2 S3 POS ENTRY;1528570;24746;1.;DA;S2;S3;;;;POS;ENTRY;;;L2/2
 DD THROWIN_OPEN POS -;1532469;12805;1.;DD;;;;THROWIN_OPEN;;POS;-;;;
 AA STAN_CORNER POS SHOTOFF;1573610;12271;1.;AA;;;;;;POS;SHOTOFF;;STAN_CORNER;
 DD GK_OPENSHORT POS KEEPPOS;1601204;31000;1.;DD;;;;GK_OPENSHORT;;POS;KEEPPOS;;;
 AA FK_OPEN POS KEEPPOS;1633036;18144;1.;AA;;;;FK_OPEN;;POS;KEEPPOS;;;
 AA S1 MIDPRESS NEG -;1637540;20413;1.;AA;S1;;;;MIDPRESS;NEG;-;;;
 DD S1 GK_SHORT HIGHPRESS POS KEEPPOS;1656459;14941;1.;DD;S1;;;GK_SHORT;HIGHPRESS;POS;KEEPPOS;;;
 AA THROWIN_OPEN POS KEEPPOS;1672308;18878;1.;AA;;;;THROWIN_OPEN;;POS;KEEPPOS;;;
 AA S2 MIDPRESS NEG KEEPPOS;1684187;37830;1.;AA;S2;;;;MIDPRESS;NEG;KEEPPOS;;;
 AA FK_OPEN POS WINOPENSTAN;1717554;14073;1.;AA;;;;FK_OPEN;;POS;WINOPENSTAN;;;
 AA THROWIN_OPEN POS ENTRY;1730767;16542;1.;AA;;;;THROWIN_OPEN;;POS;ENTRY;;;
 DD S1 GK_SHORT HIGHPRESS POS -;1746216;18411;1.;DD;S1;;;GK_SHORT;HIGHPRESS;POS;-;;;
 DA S2 S3 POS WINSTANDARD;1748189;27749;1.;DA;S2;S3;;;;POS;WINSTANDARD;;;M2/2
 AA STAN_CORNER NEG KEEPPOS;1804174;20947;1.;AA;;;;;;NEG;KEEPPOS;;STAN_CORNER;
 AA THROWIN_OPEN POS KEEPPOS;1821658;18945;1.;AA;;;;THROWIN_OPEN;;POS;KEEPPOS;;;
 AA S2 LOWPRESS NEG -;1824093;17210;1.;AA;S2;;;;LOWPRESS;NEG;-;;;
 DD THROWIN_OPEN NEG -;1847884;19946;1.;DD;;;;THROWIN_OPEN;;NEG;-;;;
 DD S1 S2 S3 HIGHPRESS NEG SHOTOFF;1850987;70263;1.;DD;S1;S2;S3;;HIGHPRESS;NEG;SHOTOFF;;;
 AA GK_OPENSHORT POS KEEPPOS;1923293;18611;1.;AA;;;;GK_OPENSHORT;;POS;KEEPPOS;;;
 AA S2 MIDPRESS NEG -;1934904;38031;1.;AA;S2;;;;MIDPRESS;NEG;-;;;
 AD S2 S3 POS -;1952427;53174;1.;AD;S2;S3;;;;POS;-;;;L2/2
 DA S1 S2 NEG KEEPPOS;1984425;29083;1.;DA;S1;S2;;;;NEG;KEEPPOS;;;M1
 AA FK_OPEN POS ENTRY;2014350;18277;1.;AA;;;;FK_OPEN;;POS;ENTRY;;;
 DD GK_OPENSHORT NEG ENTRY;2042645;35000;1.;DD;;;;GK_OPENSHORT;;NEG;ENTRY;;;
 AA S1 GK_SHORT HIGHPRESS NEG -;2074911;25752;1.;AA;S1;;;GK_SHORT;HIGHPRESS;NEG;-;;;
 AD S2 S3 NEG WINSTANDARD;2084692;22744;1.;AD;S2;S3;;;;NEG;WINSTANDARD;;;M2/2
 DD STAN_CORNER POS -;2127263;15675;1.;DD;;;;;;POS;-;;STAN_CORNER;
 DD S2 MIDPRESS POS KEEPPOS;2137840;19278;1.;DD;S2;;;;MIDPRESS;POS;KEEPPOS;;;
 AA S1 S2 MIDPRESS NEG -;2256592;20213;1.;AA;S1;S2;;;MIDPRESS;NEG;-;;;
 DD THROWIN_OPEN POS KEEPPOS;2286055;19145;1.;DD;;;;THROWIN_OPEN;;POS;KEEPPOS;;;
 DA S2 NEG -;2286927;28282;1.;DA;S2;;;;;NEG;-;;;M2/2
 DD FK_OPEN NEG WINOPENSTAN;2327229;24417;1.;DD;;;;FK_OPEN;;NEG;WINOPENSTAN;;;
 DD THROWIN_OPEN NEG -;2351220;15808;1.;DD;;;;THROWIN_OPEN;;NEG;-;;;
 DD S2 MIDPRESS POS KEEPPOS;2357059;20747;1.;DD;S2;;;;MIDPRESS;POS;KEEPPOS;;;
 AA THROWIN_OPEN POS WINOPENSTAN;2373309;24417;1.;AA;;;;THROWIN_OPEN;;POS;WINOPENSTAN;;;
 AA THROWIN_OPEN POS KEEPPOS;2398868;13473;1.;AA;;;;THROWIN_OPEN;;POS;KEEPPOS;;;
 AA S2 S3 MIDPRESS POS WINSTANDARD;2402238;36029;1.;AA;S2;S3;;;MIDPRESS;POS;WINSTANDARD;;;
 AA STAN_CORNER NEG -;2446048;21948;1.;AA;;;;;;NEG;-;;STAN_CORNER;
 DD THROWIN_OPEN POS WINOPENSTAN;2478948;16342;1.;DD;;;;THROWIN_OPEN;;POS;WINOPENSTAN;;;
 AA FK_OPEN POS KEEPPOS;2498167;21214;1.;AA;;;;FK_OPEN;;POS;KEEPPOS;;;
 AA S2 LOWPRESS NEG -;2503205;49442;1.;AA;S2;;;;LOWPRESS;NEG;-;;;
 AD S1 S2 POS KEEPPOS;2532473;35423;1.;AD;S1;S2;;;;POS;KEEPPOS;;;M3
 AA FK_OPEN POS WINOPENSTAN;2564166;17543;1.;AA;;;;FK_OPEN;;POS;WINOPENSTAN;;;
 AA THROWIN_OPEN POS KEEPPOS;2578614;17610;1.;AA;;;;THROWIN_OPEN;;POS;KEEPPOS;;;
 AA S2 MIDPRESS NEG -;2585988;23349;1.;AA;S2;;;;MIDPRESS;NEG;-;;;
 DD THROWIN_OPEN NEG -;2617586;26486;1.;DD;;;;THROWIN_OPEN;;NEG;-;;;
 DD S2 MIDPRESS POS -;2637072;21214;1.;DD;S2;;;;MIDPRESS;POS;-;;;
 DA S1 S2 NEG KEEPPOS;2643050;35823;1.;DA;S1;S2;;;;NEG;KEEPPOS;;;M1
 AA THROWIN_OPEN POS KEEPPOS;2685421;24217;1.;AA;;;;THROWIN_OPEN;;POS;KEEPPOS;;;
 AD S1 S2 NEG -;2697337;24078;1.;AD;S1;S2;;;;NEG;-;;;M3
 DA S2 S3 NEG -;2703577;24746;1.;DA;S2;S3;;;;NEG;-;;;L2/2
 AD S1 POS -;2711952;20541;1.;AD;S1;;;;;POS;-;;;M3
