ID;Half;Event;Player;Team;"Video time";"Football time";"X coordinate";"Y coordinate";Details
1436;"2nd half";pass;"4. Alika GETIASHVILI";"GEORGIA NATIONAL TEAM U17";3607.733;3536.466;0.1619;0.2062;"{""third"":""defensive"",""length"":""medium"",""restart"":""no"",""body_part"":""left-foot"",""direction"":""forward"",""inside_pa"":""not_inside_pa"",""outcome"":""success"",""under_pressure"":""under_pressure""}"
1437;"2nd half";pass_received;"5. Ioane GOGICHAISHILI";"GEORGIA NATIONAL TEAM U17";3609.466;3538.2;0.3122;0.0155;"{""body_part"":""left-foot"",""outcome"":""success"",""under_pressure"":""under_pressure""}"
1438;"2nd half";technical_error;"5. Ioane GOGICHAISHILI";"GEORGIA NATIONAL TEAM U17";3610.166;3538.9;0.3048;0.0201;"{""body_part"":""left-foot"",""outcome"":""fail"",""under_pressure"":""under_pressure""}"
1439;"2nd half";recovery;"9. Aston VISSE";"ESTONIA NATIONAL TEAM U17";3611.2;3539.933;0.7012;0.9638;"{""body_part"":""right-foot"",""outcome"":""success""}"
1440;"2nd half";pass;"9. Aston VISSE";"ESTONIA NATIONAL TEAM U17";3618.366;3547.1;0.8842;0.826;"{""third"":""final"",""length"":""short"",""restart"":""no"",""body_part"":""right-foot"",""direction"":""forward"",""inside_pa"":""not_inside_pa"",""outcome"":""fail"",""under_pressure"":""under_pressure""}"
1441;"2nd half";recovery;"4. Alika GETIASHVILI";"GEORGIA NATIONAL TEAM U17";3619.933;3548.666;0.0607;0.2131;"{""body_part"":""left-foot"",""outcome"":""success""}"
1442;"2nd half";technical_error;"4. Alika GETIASHVILI";"GEORGIA NATIONAL TEAM U17";3623.266;3552;0.0443;0.0201;"{""body_part"":""left-foot"",""outcome"":""fail"",""under_pressure"":""under_pressure""}"
1443;"2nd half";ball_out_of_play;"4. Alika GETIASHVILI";"GEORGIA NATIONAL TEAM U17";3623.766;3552.5;0.0518;0.0086;
1444;"2nd half";pass;"13. Ako HENNO KORRE";"ESTONIA NATIONAL TEAM U17";3630.4;3559.133;0.9393;0.9983;"{""third"":""final"",""length"":""short"",""restart"":""throw-in"",""body_part"":""hand"",""direction"":""sideways"",""inside_pa"":""not_inside_pa"",""outcome"":""fail"",""under_pressure"":""not_under_pressure""}"
1445;"2nd half";recovery;"17. Saba AVDOEV";"GEORGIA NATIONAL TEAM U17";3631.2;3559.933;0.0905;0.1556;"{""body_part"":""head"",""outcome"":""success""}"
1446;"2nd half";pass;"17. Saba AVDOEV";"GEORGIA NATIONAL TEAM U17";3631.233;3559.966;0.089;0.1533;"{""third"":""defensive"",""length"":""short"",""restart"":""no"",""body_part"":""head"",""direction"":""forward"",""inside_pa"":""not_inside_pa"",""outcome"":""success"",""under_pressure"":""under_pressure""}"
1447;"2nd half";pass_received;"8. Saba SHARVASHIDZE";"GEORGIA NATIONAL TEAM U17";3633;3561.733;0.1589;0.2636;"{""body_part"":""right-foot"",""outcome"":""success"",""under_pressure"":""under_pressure""}"
1448;"2nd half";pass;"8. Saba SHARVASHIDZE";"GEORGIA NATIONAL TEAM U17";3633.033;3561.766;0.156;0.2705;"{""third"":""defensive"",""length"":""medium"",""restart"":""no"",""body_part"":""right-foot"",""direction"":""forward"",""inside_pa"":""not_inside_pa"",""outcome"":""fail"",""under_pressure"":""under_pressure""}"
1449;"2nd half";block;"4. Uku VIIROJA";"ESTONIA NATIONAL TEAM U17";3635.6;3564.333;0.6193;0.5847;"{""body_part"":""other"",""block_type"":""after_pass"",""outcome"":""success"",""under_pressure"":""under_pressure""}"
1450;"2nd half";recovery;"11. Andria BARTISHVILI";"GEORGIA NATIONAL TEAM U17";3637.766;3566.5;0.3896;0.3234;"{""body_part"":""left-foot"",""outcome"":""success""}"
1451;"2nd half";pass;"11. Andria BARTISHVILI";"GEORGIA NATIONAL TEAM U17";3643.266;3572;0.7304;0.2613;"{""third"":""final"",""length"":""short"",""restart"":""no"",""body_part"":""left-foot"",""direction"":""forward"",""inside_pa"":""not_inside_pa"",""outcome"":""success"",""under_pressure"":""under_pressure""}"
1452;"2nd half";pass_received;"9. Sandro MIKAUTADZE";"GEORGIA NATIONAL TEAM U17";3644.233;3572.966;0.8286;0.3601;"{""body_part"":""right-foot"",""outcome"":""success"",""under_pressure"":""under_pressure""}"
1453;"2nd half";pass;"9. Sandro MIKAUTADZE";"GEORGIA NATIONAL TEAM U17";3645.833;3574.566;0.9223;0.3326;"{""third"":""final"",""length"":""short"",""restart"":""no"",""body_part"":""left-foot"",""direction"":""sideways"",""inside_pa"":""inside_pa"",""under_pressure"":""under_pressure""}"
1454;"2nd half";block;"5. Samuel KIRSIPUU";"ESTONIA NATIONAL TEAM U17";3646.6;3575.333;0.0613;0.5112;"{""body_part"":""left-foot"",""block_type"":""after_pass"",""outcome"":""fail"",""under_pressure"":""not_under_pressure""}"
1455;"2nd half";own_goal;"5. Samuel KIRSIPUU";"ESTONIA NATIONAL TEAM U17";3648;3576.733;0.0613;0.5112;"{""outcome"":""fail"",""under_pressure"":""not_under_pressure""}"
1456;"2nd half";substitution;"12. Luka MAMASAKHLISI";"GEORGIA NATIONAL TEAM U17";3711.8;3640.533;0;0;"{""sub_type"":""on""}"
1457;"2nd half";substitution;"1. Mate TCHELIDZE";"GEORGIA NATIONAL TEAM U17";3711.8;3640.533;0;0;"{""sub_type"":""off""}"
1458;"2nd half";substitution;"19. Giorgi LAGVILAVA";"GEORGIA NATIONAL TEAM U17";3736.933;3665.666;0;0;"{""sub_type"":""on""}"
1459;"2nd half";substitution;"18. Irakli RAZMADZE";"GEORGIA NATIONAL TEAM U17";3736.933;3665.666;0;0;"{""sub_type"":""off""}"
1460;"2nd half";substitution;"13. Davit MACHARASHVILI";"GEORGIA NATIONAL TEAM U17";3736.933;3665.666;0;0;"{""sub_type"":""on""}"
1461;"2nd half";substitution;"11. Andria BARTISHVILI";"GEORGIA NATIONAL TEAM U17";3736.933;3665.666;0;0;"{""sub_type"":""off""}"
1462;"2nd half";substitution;"9. Sandro MIKAUTADZE";"GEORGIA NATIONAL TEAM U17";3736.933;3665.666;0;0;"{""sub_type"":""off""}"
1463;"2nd half";substitution;"8. Saba SHARVASHIDZE";"GEORGIA NATIONAL TEAM U17";3736.933;3665.666;0;0;"{""sub_type"":""off""}"
1464;"2nd half";substitution;"7. Tornike KVARTSKHELIA";"GEORGIA NATIONAL TEAM U17";3736.933;3665.666;0;0;"{""sub_type"":""on""}"
1465;"2nd half";substitution;"20. Andria SVANIDZE";"GEORGIA NATIONAL TEAM U17";3736.933;3665.666;0;0;"{""sub_type"":""on""}"
